預註冊閘門通過：DECISION_20260911_R460R_FIVE_REPLICATIONS_PREREG.md 授權 g_r460r1_harness_lcb2_b2
20 題（lcb2　offset=80　題序 [80, 100)）　輸出 runs/g_r460r1_harness_lcb2_b2
── 量具驗證（先答已知答案）
   範圍＝bank：對 lcb2 全 120 題裡有參考解的驗，本塊 20 題另外算出貨閘門覆蓋
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
   本塊出貨閘門覆蓋 20/20
── 模型池：6 個 agent／1 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 10/20] 需求符合=True 接受=True 累計呼叫=10
  [CONFORM 10/20] 需求符合=True 接受=True 累計呼叫=19
  [OFF5 10/20] 需求符合=True 接受=True 累計呼叫=50
  [HPI 10/20] 需求符合=True 接受=True 累計呼叫=18
  [HOC 10/20] 需求符合=True 接受=True 累計呼叫=27
  [HMIX 10/20] 需求符合=True 接受=True 累計呼叫=12
  [OFF 11/20] 需求符合=True 接受=True 累計呼叫=11
  [CONFORM 11/20] 需求符合=True 接受=True 累計呼叫=20
  [OFF5 11/20] 需求符合=True 接受=True 累計呼叫=55
  [HPI 11/20] 需求符合=True 接受=True 累計呼叫=19
  [HOC 11/20] 需求符合=True 接受=True 累計呼叫=30
  [HMIX 11/20] 需求符合=True 接受=True 累計呼叫=13
  [OFF 12/20] 需求符合=True 接受=True 累計呼叫=12
  [CONFORM 12/20] 需求符合=True 接受=True 累計呼叫=25
  [OFF5 12/20] 需求符合=False 接受=True 累計呼叫=60
  [HPI 12/20] 需求符合=False 接受=False 累計呼叫=23
  [HOC 12/20] 需求符合=False 接受=False 累計呼叫=35
  [HMIX 12/20] 需求符合=True 接受=True 累計呼叫=14
  [OFF 13/20] 需求符合=False 接受=True 累計呼叫=13
  [CONFORM 13/20] 需求符合=True 接受=True 累計呼叫=26
  [OFF5 13/20] 需求符合=True 接受=True 累計呼叫=65
  [HPI 13/20] 需求符合=True 接受=True 累計呼叫=25
  [HOC 13/20] 需求符合=True 接受=True 累計呼叫=38
  [HMIX 13/20] 需求符合=True 接受=True 累計呼叫=15
  [OFF 14/20] 需求符合=False 接受=True 累計呼叫=14
  [CONFORM 14/20] 需求符合=True 接受=True 累計呼叫=27
  [OFF5 14/20] 需求符合=False 接受=True 累計呼叫=70
  [HPI 14/20] 需求符合=True 接受=True 累計呼叫=26
  [HOC 14/20] 需求符合=True 接受=True 累計呼叫=40
  [HMIX 14/20] 需求符合=False 接受=True 累計呼叫=16
  [OFF 15/20] 需求符合=True 接受=True 累計呼叫=15
  [CONFORM 15/20] 需求符合=True 接受=True 累計呼叫=29
  [OFF5 15/20] 需求符合=False 接受=True 累計呼叫=75
  [HPI 15/20] 需求符合=True 接受=True 累計呼叫=30
  [HOC 15/20] 需求符合=True 接受=True 累計呼叫=43
  [HMIX 15/20] 需求符合=True 接受=True 累計呼叫=17
  [OFF 16/20] 需求符合=True 接受=True 累計呼叫=16
  [CONFORM 16/20] 需求符合=True 接受=True 累計呼叫=30
  [OFF5 16/20] 需求符合=True 接受=True 累計呼叫=80
  [HPI 16/20] 需求符合=True 接受=True 累計呼叫=32
  [HOC 16/20] 需求符合=True 接受=True 累計呼叫=45
  [HMIX 16/20] 需求符合=True 接受=True 累計呼叫=19
  [OFF 17/20] 需求符合=True 接受=True 累計呼叫=17
  [CONFORM 17/20] 需求符合=True 接受=True 累計呼叫=34
  [OFF5 17/20] 需求符合=True 接受=True 累計呼叫=85
  [HPI 17/20] 需求符合=True 接受=True 累計呼叫=33
  [HOC 17/20] 需求符合=True 接受=True 累計呼叫=48
<harness_block>:4: SyntaxWarning: invalid escape sequence '\s'
<unknown>:4: SyntaxWarning: invalid escape sequence '\s'
<unknown>:4: SyntaxWarning: invalid escape sequence '\s'
<unknown>:4: SyntaxWarning: invalid escape sequence '\s'
  [HMIX 17/20] 需求符合=True 接受=True 累計呼叫=20
  [OFF 18/20] 需求符合=False 接受=True 累計呼叫=18
  [CONFORM 18/20] 需求符合=False 接受=True 累計呼叫=37
  [OFF5 18/20] 需求符合=False 接受=True 累計呼叫=90
  [HPI 18/20] 需求符合=False 接受=False 累計呼叫=36
  [HOC 18/20] 需求符合=False 接受=False 累計呼叫=53
  [HMIX 18/20] 需求符合=False 接受=True 累計呼叫=21
  [OFF 19/20] 需求符合=False 接受=True 累計呼叫=19
  [CONFORM 19/20] 需求符合=False 接受=False 累計呼叫=42
  [OFF5 19/20] 需求符合=False 接受=True 累計呼叫=95
  [HPI 19/20] 需求符合=True 接受=True 累計呼叫=41
  [HOC 19/20] 需求符合=False 接受=False 累計呼叫=58
  [HMIX 19/20] 需求符合=False 接受=False 累計呼叫=24
  [OFF 20/20] 需求符合=False 接受=True 累計呼叫=20
  [CONFORM 20/20] 需求符合=True 接受=True 累計呼叫=45
  [OFF5 20/20] 需求符合=True 接受=True 累計呼叫=100
  [HPI 20/20] 需求符合=True 接受=True 累計呼叫=42
  [HOC 20/20] 需求符合=True 接受=True 累計呼叫=60
  [HMIX 20/20] 需求符合=True 接受=True 累計呼叫=26
── OFF: {"tasks": 20, "calls": 20, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 10, "demand_equals_output_rate": 0.5, "coverage": 1.0, "correct_delivery_rate": 0.5, "raw_final_accuracy": 0.5, "calls_per_task": 1.0, "calls_per_correct_delivery": 2.0, "leaked": 10, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 20, "p50": 44787, "p95": 103430, "max": 105909}, "by_role": {"gen": {"n": 20, "p50": 44787, "p95": 103430, "max": 105909}}, "failed_attempts": 1}, "wall_s": 2240.4, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── CONFORM: {"tasks": 20, "calls": 45, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 17, "accepted_and_meets_demand": 15, "demand_equals_output_rate": 0.8823529411764706, "coverage": 0.85, "correct_delivery_rate": 0.75, "raw_final_accuracy": 0.75, "calls_per_task": 2.25, "calls_per_correct_delivery": 3.0, "leaked": 2, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 45, "p50": 45118, "p95": 144595, "max": 316409}, "by_role": {"gen": {"n": 45, "p50": 45118, "p95": 144595, "max": 316409}}, "failed_attempts": 0}, "wall_s": 2935.4, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── OFF5: {"tasks": 20, "calls": 100, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 11, "demand_equals_output_rate": 0.55, "coverage": 1.0, "correct_delivery_rate": 0.55, "raw_final_accuracy": 0.55, "calls_per_task": 5.0, "calls_per_correct_delivery": 9.090909090909092, "leaked": 9, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 100, "p50": 40791, "p95": 174866, "max": 310617}, "by_role": {"gen": {"n": 100, "p50": 40791, "p95": 174866, "max": 310617}}, "failed_attempts": 0}, "wall_s": 6487.6, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HPI: {"tasks": 20, "calls": 42, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 16, "accepted_and_meets_demand": 14, "demand_equals_output_rate": 0.875, "coverage": 0.8, "correct_delivery_rate": 0.7, "raw_final_accuracy": 0.7, "calls_per_task": 2.1, "calls_per_correct_delivery": 3.0, "leaked": 2, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 43, "p50": 27540, "p95": 316066, "max": 391503}, "by_role": {"gen": {"n": 42, "p50": 27540, "p95": 316066, "max": 391503}, "wire_probe": {"n": 1, "p50": 2908, "p95": 2908, "max": 2908}}, "failed_attempts": 0}, "wall_s": 2913.6, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HOC: {"tasks": 20, "calls": 60, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 16, "accepted_and_meets_demand": 14, "demand_equals_output_rate": 0.875, "coverage": 0.8, "correct_delivery_rate": 0.7, "raw_final_accuracy": 0.7, "calls_per_task": 3.0, "calls_per_correct_delivery": 4.285714285714286, "leaked": 2, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 60, "p50": 16678, "p95": 88038, "max": 503285}, "by_role": {"gen": {"n": 60, "p50": 16678, "p95": 88038, "max": 503285}}, "failed_attempts": 0}, "wall_s": 2178.9, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HMIX: {"tasks": 20, "calls": 26, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 19, "accepted_and_meets_demand": 16, "demand_equals_output_rate": 0.8421052631578947, "coverage": 0.95, "correct_delivery_rate": 0.8, "raw_final_accuracy": 0.8, "calls_per_task": 1.3, "calls_per_correct_delivery": 1.625, "leaked": 3, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 26, "p50": 27391, "p95": 215508, "max": 339014}, "by_role": {"gen": {"n": 26, "p50": 27391, "p95": 215508, "max": 339014}}, "failed_attempts": 0}, "wall_s": 1690.1, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}

寫出 runs/g_r460r1_harness_lcb2_b2/summary.json
⚠ 這是待驗證的宣稱不是結果——OFF5 沒跑贏之前不能說機制有效。
