預註冊閘門通過：DECISION_20260907_R460_HARNESS_PREREG.md 授權 g_r460_harness_lcb2_b2
20 題（lcb2　offset=80　題序 [80, 100)）　輸出 runs/g_r460_harness_lcb2_b2
── 量具驗證（先答已知答案）
   範圍＝bank：對 lcb2 全 120 題裡有參考解的驗，本塊 20 題另外算出貨閘門覆蓋
   參考解通過 12/12　壞解被擋 12/12
   可見閘門（CONFORM 決策量具）參考解通過 12/12　樁被擋 12/12　覆蓋 12/12
   本塊出貨閘門覆蓋 20/20
── 模型池：6 個 agent／1 個模型家族
  [OFF 10/20] 需求符合=True 接受=True 累計呼叫=10
  [CONFORM 10/20] 需求符合=True 接受=True 累計呼叫=11
  [OFF5 10/20] 需求符合=False 接受=True 累計呼叫=50
  [HPI 10/20] 需求符合=False 接受=True 累計呼叫=14
  [HOC 10/20] 需求符合=False 接受=True 累計呼叫=28
  [HMIX 10/20] 需求符合=True 接受=True 累計呼叫=12
  [OFF 11/20] 需求符合=True 接受=True 累計呼叫=11
  [CONFORM 11/20] 需求符合=True 接受=True 累計呼叫=12
  [OFF5 11/20] 需求符合=True 接受=True 累計呼叫=55
  [HPI 11/20] 需求符合=True 接受=True 累計呼叫=15
  [HOC 11/20] 需求符合=True 接受=True 累計呼叫=32
  [HMIX 11/20] 需求符合=False 接受=False 累計呼叫=15
  [OFF 12/20] 需求符合=False 接受=True 累計呼叫=12
  [CONFORM 12/20] 需求符合=True 接受=True 累計呼叫=17
  [OFF5 12/20] 需求符合=False 接受=True 累計呼叫=60
  [HPI 12/20] 需求符合=True 接受=True 累計呼叫=16
  [HOC 12/20] 需求符合=True 接受=True 累計呼叫=35
  [HMIX 12/20] 需求符合=True 接受=True 累計呼叫=16
  [OFF 13/20] 需求符合=True 接受=True 累計呼叫=13
  [CONFORM 13/20] 需求符合=True 接受=True 累計呼叫=18
  [OFF5 13/20] 需求符合=True 接受=True 累計呼叫=65
  [HPI 13/20] 需求符合=False 接受=False 累計呼叫=19
  [HOC 13/20] 需求符合=True 接受=True 累計呼叫=37
  [HMIX 13/20] 需求符合=True 接受=True 累計呼叫=18
  [OFF 14/20] 需求符合=True 接受=True 累計呼叫=14
  [CONFORM 14/20] 需求符合=True 接受=True 累計呼叫=19
  [OFF5 14/20] 需求符合=True 接受=True 累計呼叫=70
  [HPI 14/20] 需求符合=True 接受=True 累計呼叫=20
  [HOC 14/20] 需求符合=True 接受=True 累計呼叫=40
  [HMIX 14/20] 需求符合=True 接受=True 累計呼叫=19
  [OFF 15/20] 需求符合=True 接受=True 累計呼叫=15
  [CONFORM 15/20] 需求符合=False 接受=True 累計呼叫=20
  [OFF5 15/20] 需求符合=True 接受=True 累計呼叫=75
  [HPI 15/20] 需求符合=False 接受=False 累計呼叫=25
  [HOC 15/20] 需求符合=True 接受=True 累計呼叫=43
  [HMIX 15/20] 需求符合=True 接受=True 累計呼叫=20
  [OFF 16/20] 需求符合=False 接受=True 累計呼叫=16
  [CONFORM 16/20] 需求符合=False 接受=True 累計呼叫=21
  [OFF5 16/20] 需求符合=False 接受=True 累計呼叫=80
  [HPI 16/20] 需求符合=False 接受=True 累計呼叫=26
  [HOC 16/20] 需求符合=True 接受=True 累計呼叫=45
  [HMIX 16/20] 需求符合=False 接受=True 累計呼叫=21
  [OFF 17/20] 需求符合=False 接受=True 累計呼叫=17
  [CONFORM 17/20] 需求符合=False 接受=True 累計呼叫=22
  [OFF5 17/20] 需求符合=False 接受=True 累計呼叫=85
  [HPI 17/20] 需求符合=False 接受=False 累計呼叫=28
  [HOC 17/20] 需求符合=True 接受=True 累計呼叫=47
  [HMIX 17/20] 需求符合=False 接受=True 累計呼叫=23
  [OFF 18/20] 需求符合=True 接受=True 累計呼叫=18
  [CONFORM 18/20] 需求符合=True 接受=True 累計呼叫=23
  [OFF5 18/20] 需求符合=True 接受=True 累計呼叫=90
  [HPI 18/20] 需求符合=True 接受=True 累計呼叫=29
  [HOC 18/20] 需求符合=True 接受=True 累計呼叫=49
  [HMIX 18/20] 需求符合=True 接受=True 累計呼叫=24
  [OFF 19/20] 需求符合=False 接受=True 累計呼叫=19
  [CONFORM 19/20] 需求符合=True 接受=True 累計呼叫=24
  [OFF5 19/20] 需求符合=False 接受=True 累計呼叫=95
  [HPI 19/20] 需求符合=True 接受=True 累計呼叫=33
  [HOC 19/20] 需求符合=True 接受=True 累計呼叫=51
  [HMIX 19/20] 需求符合=True 接受=True 累計呼叫=27
  [OFF 20/20] 需求符合=True 接受=True 累計呼叫=20
  [CONFORM 20/20] 需求符合=True 接受=True 累計呼叫=25
  [OFF5 20/20] 需求符合=True 接受=True 累計呼叫=100
  [HPI 20/20] 需求符合=True 接受=True 累計呼叫=34
  [HOC 20/20] 需求符合=True 接受=True 累計呼叫=53
  [HMIX 20/20] 需求符合=True 接受=True 累計呼叫=28
── OFF: {"tasks": 20, "calls": 20, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 13, "demand_equals_output_rate": 0.65, "coverage": 1.0, "correct_delivery_rate": 0.65, "raw_final_accuracy": 0.65, "calls_per_task": 1.0, "calls_per_correct_delivery": 1.5384615384615385, "leaked": 7, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 20, "p50": 31145, "p95": 75320, "max": 158266}, "by_role": {"gen": {"n": 20, "p50": 31145, "p95": 75320, "max": 158266}}, "failed_attempts": 0}, "wall_s": 812.9, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── CONFORM: {"tasks": 20, "calls": 25, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 13, "demand_equals_output_rate": 0.65, "coverage": 1.0, "correct_delivery_rate": 0.65, "raw_final_accuracy": 0.65, "calls_per_task": 1.25, "calls_per_correct_delivery": 1.9230769230769231, "leaked": 7, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 25, "p50": 39032, "p95": 102934, "max": 191459}, "by_role": {"gen": {"n": 25, "p50": 39032, "p95": 102934, "max": 191459}}, "failed_attempts": 0}, "wall_s": 1148.1, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── OFF5: {"tasks": 20, "calls": 100, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 20, "accepted_and_meets_demand": 11, "demand_equals_output_rate": 0.55, "coverage": 1.0, "correct_delivery_rate": 0.55, "raw_final_accuracy": 0.55, "calls_per_task": 5.0, "calls_per_correct_delivery": 9.090909090909092, "leaked": 9, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 100, "p50": 31044, "p95": 149411, "max": 227307}, "by_role": {"gen": {"n": 100, "p50": 31044, "p95": 149411, "max": 227307}}, "failed_attempts": 0}, "wall_s": 4986.7, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HPI: {"tasks": 20, "calls": 34, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 16, "accepted_and_meets_demand": 14, "demand_equals_output_rate": 0.875, "coverage": 0.8, "correct_delivery_rate": 0.7, "raw_final_accuracy": 0.7, "calls_per_task": 1.7, "calls_per_correct_delivery": 2.4285714285714284, "leaked": 2, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 35, "p50": 38313, "p95": 250356, "max": 513174}, "by_role": {"gen": {"n": 34, "p50": 38313, "p95": 250356, "max": 513174}, "wire_probe": {"n": 1, "p50": 2552, "p95": 2552, "max": 2552}}, "failed_attempts": 0}, "wall_s": 2430.4, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HOC: {"tasks": 20, "calls": 53, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 18, "accepted_and_meets_demand": 17, "demand_equals_output_rate": 0.9444444444444444, "coverage": 0.9, "correct_delivery_rate": 0.85, "raw_final_accuracy": 0.85, "calls_per_task": 2.65, "calls_per_correct_delivery": 3.1176470588235294, "leaked": 1, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 53, "p50": 13099, "p95": 53766, "max": 132486}, "by_role": {"gen": {"n": 53, "p50": 13099, "p95": 53766, "max": 132486}}, "failed_attempts": 0}, "wall_s": 1180.0, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}
── HMIX: {"tasks": 20, "calls": 28, "infra_void": 0, "complete": true, "terminal": true, "processed": 20, "accepted": 19, "accepted_and_meets_demand": 17, "demand_equals_output_rate": 0.8947368421052632, "coverage": 0.95, "correct_delivery_rate": 0.85, "raw_final_accuracy": 0.85, "calls_per_task": 1.4, "calls_per_correct_delivery": 1.6470588235294117, "leaked": 2, "reviewer_accuracy": null, "raw_reviewer_accuracy": null, "reviewer_votes": 0, "review_fail_claims": 0, "machine_confirmed_counterexamples": 0, "confirmed_counterexample_precision_against_hidden_truth": null, "revision_transitions": null, "eq5_gate_delivery_rate": null, "eq5_vote_delivery_rate": null, "eq5_same_choice_rate": null, "eq5_same_choice_effective_rate": null, "endpoint_latency_ms": {"all": {"n": 28, "p50": 33453, "p95": 198387, "max": 219681}, "by_role": {"gen": {"n": 28, "p50": 33453, "p95": 198387, "max": 219681}}, "failed_attempts": 0}, "wall_s": 1587.9, "cost_usd": 0.0, "market_cost_usd": 0.0, "market_cost_per_correct_delivery": 0.0}

寫出 runs/g_r460_harness_lcb2_b2/summary.json
⚠ 這是待驗證的宣稱不是結果——OFF5 沒跑贏之前不能說機制有效。
