<unknown>:5: SyntaxWarning: invalid escape sequence '\w'
<unknown>:4: SyntaxWarning: invalid escape sequence '\.'
179 題（evalplus）　輸出 runs/g_r356_3arm_20260830
── 量具驗證（先答已知答案）
   參考解通過 179/179　壞解被擋 179/179
── 模型池：6 個 agent／2 個模型家族
── 模型池預檢（每個 model 問一句，零容忍）
   qwen/qwen3.6-35b-a3b　回 4 字　✓
   gemma-4-12b-it-qat　回 2 字　✓
  [OFF 1/179] 需求符合=True 接受=True 累計呼叫=1
  [ON 1/179] 需求符合=True 接受=True 累計呼叫=5
  [OFF5 1/179] 需求符合=True 接受=True 累計呼叫=5
  [OFF 2/179] 需求符合=True 接受=True 累計呼叫=2
  [ON 2/179] 需求符合=True 接受=True 累計呼叫=10
  [OFF 3/179] 需求符合=True 接受=True 累計呼叫=3
  [ON 3/179] 需求符合=True 接受=True 累計呼叫=15
  [OFF5 3/179] 需求符合=True 接受=True 累計呼叫=10
  [OFF 4/179] 需求符合=False 接受=True 累計呼叫=4
  [ON 4/179] 需求符合=False 接受=False 累計呼叫=20
  [OFF5 4/179] 需求符合=False 接受=True 累計呼叫=15
  [OFF 5/179] 需求符合=True 接受=True 累計呼叫=5
  [ON 5/179] 需求符合=True 接受=True 累計呼叫=25
  [OFF5 5/179] 需求符合=True 接受=True 累計呼叫=20
  [OFF 6/179] 需求符合=True 接受=True 累計呼叫=6
  [ON 6/179] 需求符合=True 接受=True 累計呼叫=30
  [OFF5 6/179] 需求符合=True 接受=True 累計呼叫=25
  [OFF 7/179] 需求符合=False 接受=True 累計呼叫=7
  [ON 7/179] 需求符合=True 接受=True 累計呼叫=35
  [OFF5 7/179] 需求符合=False 接受=True 累計呼叫=30
  [OFF 8/179] 需求符合=False 接受=True 累計呼叫=8
  [OFF5 8/179] 需求符合=False 接受=True 累計呼叫=35
  [OFF 9/179] 需求符合=False 接受=True 累計呼叫=9
  [OFF5 9/179] 需求符合=True 接受=True 累計呼叫=40
  [OFF 10/179] 需求符合=False 接受=True 累計呼叫=10
  [ON 10/179] 需求符合=False 接受=True 累計呼叫=42
  [OFF5 10/179] 需求符合=False 接受=True 累計呼叫=45
  [OFF 11/179] 需求符合=False 接受=True 累計呼叫=11
  [ON 11/179] 需求符合=False 接受=False 累計呼叫=47
  [OFF5 11/179] 需求符合=True 接受=True 累計呼叫=50
  [OFF 12/179] 需求符合=True 接受=True 累計呼叫=12
  [OFF 13/179] 需求符合=True 接受=True 累計呼叫=13
  [ON 13/179] 需求符合=True 接受=True 累計呼叫=53
  [OFF5 13/179] 需求符合=True 接受=True 累計呼叫=55
  [OFF 14/179] 需求符合=True 接受=True 累計呼叫=14
  [OFF5 14/179] 需求符合=True 接受=True 累計呼叫=60
  [OFF 15/179] 需求符合=False 接受=True 累計呼叫=15
  [ON 15/179] 需求符合=False 接受=False 累計呼叫=59
  [OFF5 15/179] 需求符合=False 接受=True 累計呼叫=65
  [OFF 16/179] 需求符合=False 接受=True 累計呼叫=16
  [ON 16/179] 需求符合=True 接受=True 累計呼叫=64
  [OFF5 16/179] 需求符合=True 接受=True 累計呼叫=70
  [OFF 17/179] 需求符合=True 接受=True 累計呼叫=17
  [OFF5 17/179] 需求符合=True 接受=True 累計呼叫=75
  [OFF 18/179] 需求符合=True 接受=True 累計呼叫=18
  [OFF5 18/179] 需求符合=True 接受=True 累計呼叫=80
  [OFF 19/179] 需求符合=False 接受=True 累計呼叫=19
  [ON 19/179] 需求符合=False 接受=True 累計呼叫=72
  [OFF5 19/179] 需求符合=False 接受=True 累計呼叫=85
  [OFF 20/179] 需求符合=True 接受=True 累計呼叫=20
  [ON 20/179] 需求符合=True 接受=True 累計呼叫=77
  [OFF5 20/179] 需求符合=True 接受=True 累計呼叫=90
  [OFF 21/179] 需求符合=True 接受=True 累計呼叫=21
  [OFF5 21/179] 需求符合=True 接受=True 累計呼叫=95
  [OFF 22/179] 需求符合=True 接受=True 累計呼叫=22
  [ON 22/179] 需求符合=True 接受=True 累計呼叫=83
  [OFF5 22/179] 需求符合=True 接受=True 累計呼叫=100
  [OFF 23/179] 需求符合=False 接受=True 累計呼叫=23
  [ON 23/179] 需求符合=True 接受=True 累計呼叫=88
  [OFF5 23/179] 需求符合=False 接受=True 累計呼叫=105
  [ON 24/179] 需求符合=True 接受=True 累計呼叫=93
  [OFF5 24/179] 需求符合=True 接受=True 累計呼叫=110
  [OFF 25/179] 需求符合=True 接受=True 累計呼叫=24
  [ON 25/179] 需求符合=True 接受=True 累計呼叫=98
  [OFF5 25/179] 需求符合=True 接受=True 累計呼叫=115
  [OFF 26/179] 需求符合=True 接受=True 累計呼叫=25
  [ON 26/179] 需求符合=True 接受=True 累計呼叫=103
  [OFF5 26/179] 需求符合=True 接受=True 累計呼叫=120
  [OFF 27/179] 需求符合=False 接受=True 累計呼叫=26
  [ON 27/179] 需求符合=False 接受=True 累計呼叫=108
  [OFF5 27/179] 需求符合=False 接受=True 累計呼叫=125
  [OFF 28/179] 需求符合=True 接受=True 累計呼叫=27
  [ON 28/179] 需求符合=False 接受=False 累計呼叫=113
  [OFF5 28/179] 需求符合=False 接受=True 累計呼叫=130
  [ON 29/179] 需求符合=True 接受=True 累計呼叫=118
  [OFF5 29/179] 需求符合=True 接受=True 累計呼叫=135
  [OFF 30/179] 需求符合=True 接受=True 累計呼叫=28
  [ON 30/179] 需求符合=False 接受=False 累計呼叫=123
  [OFF5 30/179] 需求符合=False 接受=True 累計呼叫=140
  [OFF 31/179] 需求符合=True 接受=True 累計呼叫=29
  [ON 31/179] 需求符合=True 接受=True 累計呼叫=128
  [OFF5 31/179] 需求符合=True 接受=True 累計呼叫=145
  [OFF 32/179] 需求符合=True 接受=True 累計呼叫=30
  [ON 32/179] 需求符合=True 接受=True 累計呼叫=133
  [OFF5 32/179] 需求符合=True 接受=True 累計呼叫=150
  [OFF 33/179] 需求符合=True 接受=True 累計呼叫=31
  [ON 33/179] 需求符合=True 接受=True 累計呼叫=138
  [OFF 34/179] 需求符合=True 接受=True 累計呼叫=32
  [ON 34/179] 需求符合=True 接受=True 累計呼叫=143
  [OFF5 34/179] 需求符合=True 接受=True 累計呼叫=156
  [OFF 35/179] 需求符合=False 接受=True 累計呼叫=33
  [ON 35/179] 需求符合=True 接受=True 累計呼叫=148
  [OFF5 35/179] 需求符合=True 接受=True 累計呼叫=161
  [OFF 36/179] 需求符合=True 接受=True 累計呼叫=34
  [ON 36/179] 需求符合=True 接受=True 累計呼叫=153
  [OFF5 36/179] 需求符合=True 接受=True 累計呼叫=166
  [OFF 37/179] 需求符合=True 接受=True 累計呼叫=35
  [ON 37/179] 需求符合=False 接受=False 累計呼叫=158
  [OFF5 37/179] 需求符合=True 接受=True 累計呼叫=171
  [OFF 38/179] 需求符合=True 接受=True 累計呼叫=36
  [OFF5 38/179] 需求符合=True 接受=True 累計呼叫=176
  [OFF 39/179] 需求符合=True 接受=True 累計呼叫=37
  [OFF5 39/179] 需求符合=True 接受=True 累計呼叫=181
  [OFF 40/179] 需求符合=False 接受=True 累計呼叫=38
  [ON 40/179] 需求符合=False 接受=False 累計呼叫=169
  [OFF5 40/179] 需求符合=False 接受=True 累計呼叫=186
  [OFF 41/179] 需求符合=True 接受=True 累計呼叫=39
  [ON 41/179] 需求符合=True 接受=True 累計呼叫=174
  [OFF5 41/179] 需求符合=True 接受=True 累計呼叫=191
  [OFF 42/179] 需求符合=True 接受=True 累計呼叫=40
  [ON 42/179] 需求符合=True 接受=True 累計呼叫=179
  [OFF5 42/179] 需求符合=True 接受=True 累計呼叫=196
  [OFF 43/179] 需求符合=True 接受=True 累計呼叫=41
  [ON 43/179] 需求符合=False 接受=False 累計呼叫=184
  [OFF5 43/179] 需求符合=True 接受=True 累計呼叫=201
  [OFF 44/179] 需求符合=True 接受=True 累計呼叫=42
  [OFF5 44/179] 需求符合=True 接受=True 累計呼叫=206
  [OFF 45/179] 需求符合=False 接受=True 累計呼叫=43
  [ON 45/179] 需求符合=False 接受=False 累計呼叫=192
  [OFF5 45/179] 需求符合=False 接受=True 累計呼叫=211
  [OFF 46/179] 需求符合=True 接受=True 累計呼叫=44
  [ON 46/179] 需求符合=True 接受=True 累計呼叫=197
  [OFF5 46/179] 需求符合=True 接受=True 累計呼叫=216
  [OFF 47/179] 需求符合=True 接受=True 累計呼叫=45
  [ON 47/179] 需求符合=True 接受=True 累計呼叫=202
  [OFF5 47/179] 需求符合=True 接受=True 累計呼叫=221
  [OFF 48/179] 需求符合=True 接受=True 累計呼叫=46
  [ON 48/179] 需求符合=True 接受=True 累計呼叫=207
  [OFF5 48/179] 需求符合=True 接受=True 累計呼叫=226
  [OFF 49/179] 需求符合=True 接受=True 累計呼叫=47
  [ON 49/179] 需求符合=True 接受=True 累計呼叫=212
  [OFF5 49/179] 需求符合=True 接受=True 累計呼叫=231
  [OFF 50/179] 需求符合=True 接受=True 累計呼叫=48
  [ON 50/179] 需求符合=True 接受=True 累計呼叫=217
  [OFF5 50/179] 需求符合=True 接受=True 累計呼叫=236
  [OFF 51/179] 需求符合=False 接受=True 累計呼叫=49
  [ON 51/179] 需求符合=True 接受=True 累計呼叫=222
  [OFF 52/179] 需求符合=False 接受=True 累計呼叫=50
  [ON 52/179] 需求符合=False 接受=True 累計呼叫=227
  [OFF5 52/179] 需求符合=False 接受=True 累計呼叫=243
  [OFF 53/179] 需求符合=True 接受=True 累計呼叫=51
  [ON 53/179] 需求符合=True 接受=True 累計呼叫=232
  [OFF5 53/179] 需求符合=True 接受=True 累計呼叫=248
  [OFF 54/179] 需求符合=True 接受=True 累計呼叫=52
  [ON 54/179] 需求符合=True 接受=True 累計呼叫=237
  [OFF5 54/179] 需求符合=True 接受=True 累計呼叫=253
  [OFF 55/179] 需求符合=True 接受=True 累計呼叫=53
